"id_servidor";"nome";"id_unidade";"unidade";"id_centro";"centro";"coordenador";"internos";"externos";
"5752802";"ADRIANO BRETANHA LOPES TORT";"6026";"INSTITUTO DO CÉREBRO";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"1";"1";"1";
"5752693";"ADRIANO CALIMAN FERREIRA DA SILVA";"8366";"DEPARTAMENTO DE ECOLOGIA";"440";"CENTRO DE BIOCIÊNCIAS";"3";"2";"2";
"5752204";"ADRIANO CHARLES DA SILVA CRUZ";"140";"DEPARTAMENTO DE COMUNICAÇÃO SOCIAL";"442";"CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES";"0";"1";"1";
"5754591";"ADRIANO DE ARAÚJO LIMA LIGUORI";"191";"DEPARTAMENTO DE MEDICINA CLÍNICA";"441";"CENTRO DE CIÊNCIAS DA SAÚDE";"0";"1";"0";
"3588433";"ADRIANO DOS SANTOS";"5075";"DEPARTAMENTO DE ENGENHARIA DE PETROLEO";"445";"CENTRO DE TECNOLOGIA";"5";"1";"7";
"5752478";"ADRIANO HENRIQUE DO NASCIMENTO RANGEL";"351";"ESCOLA AGRÍCOLA DE JUNDIAÍ";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"2";"2";"1";
"5753625";"ADRIANO LIMA TROLEIS";"142";"DEPARTAMENTO DE GEOGRAFIA/CCHLA";"442";"CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES";"1";"2";"1";
"24851";"ADRIANO LOPES GOMES";"140";"DEPARTAMENTO DE COMUNICAÇÃO SOCIAL";"442";"CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES";"1";"4";"0";
"26273";"ADRIANO ROCHA GERMANO";"195";"DEPARTAMENTO DE ODONTOLOGIA";"441";"CENTRO DE CIÊNCIAS DA SAÚDE";"2";"2";"0";
"18741";"ADRIAO DUARTE DORIA NETO";"56";"DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO";"445";"CENTRO DE TECNOLOGIA";"1";"1";"3";
"5751986";"AFRANIO CESAR DE ARAUJO";"351";"ESCOLA AGRÍCOLA DE JUNDIAÍ";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"1";"9";"0";
"20885";"AFRANIO GALDINO DE ARAUJO";"161";"DEPARTAMENTO DE CIÊNCIAS ADMINISTRATIVAS - DEPAD";"443";"CENTRO DE CIÊNCIAS SOCIAIS APLICADAS";"0";"1";"0";
"24165";"AGOSTINHO DE MEDEIROS BRITO JUNIOR";"56";"DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO";"445";"CENTRO DE TECNOLOGIA";"0";"0";"1";
"22193";"AGOSTINHO JORGE DE LIMA";"284";"ESCOLA DE MÚSICA";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"1";"1";"0";
"5758779";"AGUINALDO CESAR SURDI";"199";"DEPARTAMENTO DE EDUCAÇÃO FÍSICA";"441";"CENTRO DE CIÊNCIAS DA SAÚDE";"1";"3";"0";
"5758746";"AILTON RODRIGUES DA SILVA";"120";"DEPARTAMENTO DE MATEMÁTICA";"439";"CENTRO DE CIÊNCIAS EXATAS E DA TERRA";"2";"2";"0";
"5758829";"AIRAN DOS SANTOS BORGES";"5486";"CERES - DEPARTAMENTO DE HISTÓRIA";"1482";"CENTRO DE  ENSINO SUPERIOR DO SERIDÓ";"1";"1";"0";
"92054";"ALAN DANIEL FREIRE DE LACERDA";"1824";"DEPARTAMENTO DE POLÍTICAS PÚBLICAS";"442";"CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES";"0";"0";"1";
"5753012";"ALCIDES DE OLIVEIRA WANDERLEY NETO";"6025";"INSTITUTO DE QUÍMICA";"439";"CENTRO DE CIÊNCIAS EXATAS E DA TERRA";"2";"6";"2";
"5754611";"ALDAIR DE SOUSA PAIVA";"446";"HOSPITAL UNIVERSITÁRIO ONOFRE LOPES";"446";"HOSPITAL UNIVERSITÁRIO ONOFRE LOPES";"0";"1";"0";
"5758792";"ALDAIR RODRIGUES DA SILVA";"351";"ESCOLA AGRÍCOLA DE JUNDIAÍ";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"0";"1";"0";
"26242";"ALDA MARIA DUARTE ARAUJO CASTRO";"5967";"DEPARTAMENTO DE FUNDAMENTOS E POLÍTICAS DA EDUCAÇÃO";"5965";"CENTRO DE EDUCAÇÃO";"1";"3";"0";
"18679";"ALDAYR DANTAS DE ARAUJO";"112";"DEPARTAMENTO DE ENGENHARIA ELÉTRICA";"445";"CENTRO DE TECNOLOGIA";"1";"1";"0";
"25970";"ALDO ALOISIO DANTAS DA SILVA";"142";"DEPARTAMENTO DE GEOGRAFIA/CCHLA";"442";"CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES";"1";"0";"1";
"17274";"ALDO DA CUNHA MEDEIROS";"192";"DEPARTAMENTO DE CIRURGIA";"441";"CENTRO DE CIÊNCIAS DA SAÚDE";"2";"3";"0";
"25520";"ALDOMAR PEDRINI";"54";"DEPARTAMENTO DE ARQUITETURA";"445";"CENTRO DE TECNOLOGIA";"1";"1";"0";
"5753581";"ALESSANDRA CARDOZO DE FREITAS";"5968";"DEPARTAMENTO DE PRÁTICAS EDUCACIONAIS E CURRÍCULO";"5965";"CENTRO DE EDUCAÇÃO";"1";"3";"1";
"5753583";"ALESSANDRA CASTILHO FERREIRA DA COSTA";"138";"DEPARTAMENTO DE LETRAS";"442";"CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES";"1";"1";"0";
"5752871";"ALESSANDRA MENDES PACHECO GUERRA VALE";"351";"ESCOLA AGRÍCOLA DE JUNDIAÍ";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"4";"7";"0";
"22948";"ALESSANDRO AUGUSTO DE AZEVEDO";"5968";"DEPARTAMENTO DE PRÁTICAS EDUCACIONAIS E CURRÍCULO";"5965";"CENTRO DE EDUCAÇÃO";"2";"2";"0";
"5757705";"ALESSANDRO AUGUSTO DE BARROS FACANHA";"4880";"DEPARTAMENTO DE EDUCAÇÃO - CERES";"1482";"CENTRO DE  ENSINO SUPERIOR DO SERIDÓ";"1";"1";"0";
"5753413";"ALESSANDRO DOZENA";"142";"DEPARTAMENTO DE GEOGRAFIA/CCHLA";"442";"CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES";"2";"2";"0";
"5752750";"ALEXANDRE BARBOSA DE OLIVEIRA";"121";"DEPARTAMENTO DE FÍSICA TEÓRICA E EXPERIMENTAL";"439";"CENTRO DE CIÊNCIAS EXATAS E DA TERRA";"0";"2";"3";
"22880";"ALEXANDRE BEZERRA VIANA";"284";"ESCOLA DE MÚSICA";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"0";"1";"0";
"5753864";"ALEXANDRE FADIGAS DE SOUZA";"8366";"DEPARTAMENTO DE ECOLOGIA";"440";"CENTRO DE BIOCIÊNCIAS";"1";"0";"2";
"18934";"ALEXANDRE MAGNO CAVALCANTI DA ROCHA";"180";"DEPARTAMENTO DE OCEANOGRAFIA E LIMNOLOGIA";"440";"CENTRO DE BIOCIÊNCIAS";"0";"1";"0";
"5753896";"ALEXANDRE MAGNUS FERNANDES GUIMARAES";"4885";"ESCOLA DE CIÊNCIAS E TECNOLOGIA";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"1";"3";"0";
"5752917";"ALEXANDRE RECHE E SILVA";"284";"ESCOLA DE MÚSICA";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"1";"1";"0";
"5752726";"ALEXANDRE SANTOS PIMENTA";"351";"ESCOLA AGRÍCOLA DE JUNDIAÍ";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"0";"4";"1";
"26304";"ALEXANDRO BARBOSA";"163";"DEPARTAMENTO DE CIÊNCIAS CONTÁBEIS - DCC";"443";"CENTRO DE CIÊNCIAS SOCIAIS APLICADAS";"3";"3";"1";
"5753093";"ALEXANDRO TEIXEIRA GOMES";"7847";"DEPARTAMENTO DE LETRAS - CERES";"1482";"CENTRO DE  ENSINO SUPERIOR DO SERIDÓ";"1";"4";"0";
"3031948";"ALEX BEIGUI DE PAIVA CAVALCANTE";"139";"DEPARTAMENTO DE ARTES";"442";"CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES";"1";"1";"2";
"5758714";"ALEXEY KUZMIN";"120";"DEPARTAMENTO DE MATEMÁTICA";"439";"CENTRO DE CIÊNCIAS EXATAS E DA TERRA";"0";"1";"0";
"2306717";"ALEX FRANCISCO ANTUNES";"123";"DEPARTAMENTO DE GEOLOGIA";"439";"CENTRO DE CIÊNCIAS EXATAS E DA TERRA";"2";"0";"5";
"5751878";"ALEX JOSE SOUZA DOS SANTOS";"195";"DEPARTAMENTO DE ODONTOLOGIA";"441";"CENTRO DE CIÊNCIAS DA SAÚDE";"0";"0";"1";
"5757429";"ALEX REINECKE DE ALVERGA";"4890";"FACULDADE DE CIÊNCIAS DA SAÚDE DO TRAIRI - FACISA";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"1";"2";"0";
"5754604";"ALEXSANDRA RODRIGUES FEIJAO";"198";"DEPARTAMENTO DE ENFERMAGEM";"441";"CENTRO DE CIÊNCIAS DA SAÚDE";"1";"4";"0";
"5753698";"ALEXSANDRO FERREIRA CARDOSO DA SILVA";"1824";"DEPARTAMENTO DE POLÍTICAS PÚBLICAS";"442";"CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES";"1";"3";"1";
"25907";"ALEXSANDRO GALENO ARAUJO DANTAS";"136";"DEPARTAMENTO DE CIÊNCIAS SOCIAIS";"442";"CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES";"0";"1";"1";
"5759223";"ALEXSANDRO PEREIRA LIMA";"4885";"ESCOLA DE CIÊNCIAS E TECNOLOGIA";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"1";"1";"1";
"5756708";"ALIANDA MAIRA CORNELIO DA SILVA";"177";"DEPARTAMENTO DE MORFOLOGIA";"440";"CENTRO DE BIOCIÊNCIAS";"1";"0";"1";
"5753766";"ALICE DE MORAES CALVENTE VERSIEUX";"183";"DEPARTAMENTO DE BOTÂNICA E ZOOLOGIA";"440";"CENTRO DE BIOCIÊNCIAS";"4";"4";"1";
"5757937";"ALINE BRAGA GALVAO SILVEIRA FERNANDES";"4890";"FACULDADE DE CIÊNCIAS DA SAÚDE DO TRAIRI - FACISA";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"1";"5";"1";
"5756851";"ALINE MEDEIROS CAVALCANTI DA FONSECA";"201";"DEPARTAMENTO DE FISIOTERAPIA";"441";"CENTRO DE CIÊNCIAS DA SAÚDE";"2";"2";"0";
"54348";"ALINE SCHWARZ";"117";"DEPARTAMENTO DE ANÁLISES CLÍNICAS E TOXICOLÓGICAS";"441";"CENTRO DE CIÊNCIAS DA SAÚDE";"1";"1";"0";
"5757154";"ALINE VIRGINIA MEDEIROS NELSON";"161";"DEPARTAMENTO DE CIÊNCIAS ADMINISTRATIVAS - DEPAD";"443";"CENTRO DE CIÊNCIAS SOCIAIS APLICADAS";"1";"1";"0";
"22013";"ALIPIO DE SOUSA FILHO";"136";"DEPARTAMENTO DE CIÊNCIAS SOCIAIS";"442";"CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES";"1";"1";"0";
"5751838";"ALLAN DE MEDEIROS MARTINS";"112";"DEPARTAMENTO DE ENGENHARIA ELÉTRICA";"445";"CENTRO DE TECNOLOGIA";"0";"0";"1";
"5753624";"ALLYNE FORTES VITOR";"198";"DEPARTAMENTO DE ENFERMAGEM";"441";"CENTRO DE CIÊNCIAS DA SAÚDE";"1";"2";"0";
"5753094";"ALLYSON CARVALHO DE ARAUJO";"199";"DEPARTAMENTO DE EDUCAÇÃO FÍSICA";"441";"CENTRO DE CIÊNCIAS DA SAÚDE";"0";"1";"0";
"5753633";"ALMARIA MARIZ BATISTA";"196";"DEPARTAMENTO DE FARMACIA";"441";"CENTRO DE CIÊNCIAS DA SAÚDE";"1";"1";"1";
"15373";"ALMIR MIRANDA FERREIRA";"235";"CERES - DEPTO CIÊNCIAS EXATAS E APLICADAS";"1482";"CENTRO DE  ENSINO SUPERIOR DO SERIDÓ";"1";"2";"0";
"5757141";"ALUIZIO FERREIRA DA ROCHA NETO";"6069";"INSTITUTO METROPOLE DIGITAL";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"1";"1";"1";
"20856";"ALVARO BARROCA NETO";"235";"CERES - DEPTO CIÊNCIAS EXATAS E APLICADAS";"1482";"CENTRO DE  ENSINO SUPERIOR DO SERIDÓ";"0";"0";"2";
"25606";"ALVARO CAMPOS CAVALCANTI MACIEL";"201";"DEPARTAMENTO DE FISIOTERAPIA";"441";"CENTRO DE CIÊNCIAS DA SAÚDE";"1";"2";"1";
"5756816";"ALYSON MATHEUS DE CARVALHO SOUZA";"6069";"INSTITUTO METROPOLE DIGITAL";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"1";"2";"0";
"18689";"AMADJA HENRIQUE BORGES";"54";"DEPARTAMENTO DE ARQUITETURA";"445";"CENTRO DE TECNOLOGIA";"1";"1";"0";
"5756809";"AMANDA DUARTE GONDIM";"6025";"INSTITUTO DE QUÍMICA";"439";"CENTRO DE CIÊNCIAS EXATAS E DA TERRA";"2";"1";"3";
"5757780";"AMANDA MELISSA DAMIAO LEITE";"4885";"ESCOLA DE CIÊNCIAS E TECNOLOGIA";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"2";"11";"0";
"5752885";"AMANDY BANDEIRA DE ARAUJO";"284";"ESCOLA DE MÚSICA";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"1";"3";"0";
"5752291";"AMARINO OLIVEIRA DE QUEIROZ";"7847";"DEPARTAMENTO DE LETRAS - CERES";"1482";"CENTRO DE  ENSINO SUPERIOR DO SERIDÓ";"1";"2";"0";
"5753751";"AMELIA MARTINS DIAS SANTA ROSA";"284";"ESCOLA DE MÚSICA";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"2";"2";"0";
"5758475";"AMIRIA BEZERRA BRASIL";"54";"DEPARTAMENTO DE ARQUITETURA";"445";"CENTRO DE TECNOLOGIA";"1";"2";"0";
"5757398";"AMON EVANGELISTA DOS ANJOS PAIVA";"5967";"DEPARTAMENTO DE FUNDAMENTOS E POLÍTICAS DA EDUCAÇÃO";"5965";"CENTRO DE EDUCAÇÃO";"0";"1";"0";
"5758525";"ANA CALDAS LEWINSOHN";"139";"DEPARTAMENTO DE ARTES";"442";"CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES";"0";"4";"0";
"5758830";"ANA CARLA IORIO PETROVICH";"181";"DEPARTAMENTO DE MICROBIOLOGIA E PARASITOLOGIA";"440";"CENTRO DE BIOCIÊNCIAS";"0";"3";"0";
"5753546";"ANA CAROLINA LUCHIARI";"178";"DEPARTAMENTO DE FISIOLOGIA";"440";"CENTRO DE BIOCIÊNCIAS";"5";"7";"1";
"5758548";"ANA CAROLINA PATRICIO DE ALBUQUERQUE SOUSA";"7278";"ESCOLA MULTICAMPI DE CIÊNCIAS MÉDICAS DO RIO GRANDE DO NORTE";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"1";"2";"0";
"5751854";"ANA CRISTINA FACUNDO DE BRITO PONTES";"6025";"INSTITUTO DE QUÍMICA";"439";"CENTRO DE CIÊNCIAS EXATAS E DA TERRA";"2";"5";"1";
"5757490";"ANA CRISTINA VIEIRA DE MELO";"193";"DEPARTAMENTO DE PEDIATRIA";"441";"CENTRO DE CIÊNCIAS DA SAÚDE";"0";"1";"0";
"5757834";"ANA ELZA OLIVEIRA DE MENDONCA";"198";"DEPARTAMENTO DE ENFERMAGEM";"441";"CENTRO DE CIÊNCIAS DA SAÚDE";"3";"8";"1";
"5753630";"ANA FLAVIA DE SOUZA TIMOTEO";"205";"ESCOLA DE SAÚDE";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"0";"1";"0";
"26007";"ANA GRACA CANAN";"5206";"DEPARTAMENTO DE LINGUAS E LITERATURAS ESTRANGEIRAS MODERNAS";"442";"CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES";"0";"1";"0";
"5752200";"ANA HELONEIDA DE ARAUJO MORAIS";"203";"DEPARTAMENTO DE NUTRIÇÃO";"441";"CENTRO DE CIÊNCIAS DA SAÚDE";"2";"6";"0";
"22763";"ANAILSON MARCIO GOMES";"163";"DEPARTAMENTO DE CIÊNCIAS CONTÁBEIS - DCC";"443";"CENTRO DE CIÊNCIAS SOCIAIS APLICADAS";"0";"1";"0";
"5752257";"ANA KARENINA DE MELO ARRAES AMORIM";"143";"DEPARTAMENTO DE PSICOLOGIA";"442";"CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES";"1";"3";"1";
"5754341";"ANA KARINA SILVA AZEVEDO";"143";"DEPARTAMENTO DE PSICOLOGIA";"442";"CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES";"2";"3";"0";
"26096";"ANA KARLA MONTEIRO SANTANA DE OLIVEIRA FREITAS";"447";"MATERNIDADE ESCOLA JANUÁRIO CICCO";"447";"MATERNIDADE ESCOLA JANUÁRIO CICCO";"0";"2";"0";
"5753071";"ANA KARLA MONTEIRO SANTANA DE OLIVEIRA FREITAS";"197";"DEPARTAMENTO DE TOCO-GINECOLOGIA";"441";"CENTRO DE CIÊNCIAS DA SAÚDE";"0";"2";"0";
"23673";"ANA KATHERINE DA SILVEIRA GONCALVES DE OLIVEIRA";"197";"DEPARTAMENTO DE TOCO-GINECOLOGIA";"441";"CENTRO DE CIÊNCIAS DA SAÚDE";"2";"4";"0";
"5759201";"ANA LUDMILA FREIRE COSTA";"4890";"FACULDADE DE CIÊNCIAS DA SAÚDE DO TRAIRI - FACISA";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"0";"2";"0";
"5752167";"ANA LUISA BRANDAO DE CARVALHO LIRA";"198";"DEPARTAMENTO DE ENFERMAGEM";"441";"CENTRO DE CIÊNCIAS DA SAÚDE";"2";"3";"0";
"5757724";"ANA LUIZA DE OLIVEIRA E OLIVEIRA";"7278";"ESCOLA MULTICAMPI DE CIÊNCIAS MÉDICAS DO RIO GRANDE DO NORTE";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"1";"4";"0";
"5758542";"ANA MANHANI CACERES ASSENCO";"5610";"DEPARTAMENTO DE FONOAUDIOLOGIA";"441";"CENTRO DE CIÊNCIAS DA SAÚDE";"1";"1";"1";
"5752217";"ANA MARIA DE OLIVEIRA PAZ";"7847";"DEPARTAMENTO DE LETRAS - CERES";"1482";"CENTRO DE  ENSINO SUPERIOR DO SERIDÓ";"2";"5";"0";
"18247";"ANA MIRYAM COSTA DE MEDEIROS";"195";"DEPARTAMENTO DE ODONTOLOGIA";"441";"CENTRO DE CIÊNCIAS DA SAÚDE";"1";"3";"1";
"5755869";"ANA PATRICIA DIAS SALES";"136";"DEPARTAMENTO DE CIÊNCIAS SOCIAIS";"442";"CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES";"1";"1";"0";
"5752189";"ANA PAULA BARRETO GOMES";"196";"DEPARTAMENTO DE FARMACIA";"441";"CENTRO DE CIÊNCIAS DA SAÚDE";"2";"9";"0";
"5758015";"ANA PAULA CAVALHEIRO DE ANDRADE";"351";"ESCOLA AGRÍCOLA DE JUNDIAÍ";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"0";"6";"0";
"5757572";"ANA PAULA COSTA CAMARA";"351";"ESCOLA AGRÍCOLA DE JUNDIAÍ";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"1";"2";"0";
"5755863";"ANA PAULA CYSNE BARBOSA";"1589";"DEPARTAMENTO DE ENGENHARIA DE MATERIAIS";"445";"CENTRO DE TECNOLOGIA";"1";"3";"1";
"5758719";"ANA PAULA DIAS INOCENCIO BARBOSA";"203";"DEPARTAMENTO DE NUTRIÇÃO";"441";"CENTRO DE CIÊNCIAS DA SAÚDE";"0";"0";"1";
"5754337";"ANA PAULA TRUSSARDI FAYH";"203";"DEPARTAMENTO DE NUTRIÇÃO";"441";"CENTRO DE CIÊNCIAS DA SAÚDE";"1";"3";"0";
"5756326";"ANA RAFAELA LUZ DE AQUINO MARTINS";"195";"DEPARTAMENTO DE ODONTOLOGIA";"441";"CENTRO DE CIÊNCIAS DA SAÚDE";"1";"1";"0";
"25990";"ANA RAQUEL RODRIGUES LINDQUIST";"201";"DEPARTAMENTO DE FISIOTERAPIA";"441";"CENTRO DE CIÊNCIAS DA SAÚDE";"7";"9";"2";
"5755386";"ANA SANTANA SOUZA";"5968";"DEPARTAMENTO DE PRÁTICAS EDUCACIONAIS E CURRÍCULO";"5965";"CENTRO DE EDUCAÇÃO";"1";"3";"0";
"22741";"ANATALIA SARAIVA MARTINS RAMOS";"161";"DEPARTAMENTO DE CIÊNCIAS ADMINISTRATIVAS - DEPAD";"443";"CENTRO DE CIÊNCIAS SOCIAIS APLICADAS";"4";"3";"2";
"5754400";"ANA TANIA LOPES SAMPAIO";"202";"DEPARTAMENTO DE SAÚDE COLETIVA";"441";"CENTRO DE CIÊNCIAS DA SAÚDE";"1";"3";"1";
"5756347";"ANA VIRGINIA LIMA DA SILVA ROCHA";"138";"DEPARTAMENTO DE LETRAS";"442";"CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES";"1";"3";"0";
"5752378";"ANDERSON CLAYTON ALVES DE MELO";"50";"DEPARTAMENTO DE ENGENHARIA MECANICA";"445";"CENTRO DE TECNOLOGIA";"1";"1";"0";
"5758709";"ANDERSON CRISTOPHER DOS SANTOS";"1824";"DEPARTAMENTO DE POLÍTICAS PÚBLICAS";"442";"CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES";"1";"1";"0";
"5754083";"ANDERSON DE OLIVEIRA PESSOA";"284";"ESCOLA DE MÚSICA";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"0";"1";"0";
"5759602";"ANDERSON DIAS VIANA";"351";"ESCOLA AGRÍCOLA DE JUNDIAÍ";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"0";"1";"0";
"5752548";"ANDERSON LUIZ DE OLIVEIRA CAVALCANTI";"56";"DEPARTAMENTO DE ENGENHARIA DE COMPUTACAO E AUTOMACAO";"445";"CENTRO DE TECNOLOGIA";"0";"0";"1";
